trial_type,arrow_1,corrAns,ss_delay,iti_duration,key_response.keys,key_response.corr,key_response.rt,SOA,run_fixation_duration,participant,trial_order,handedness
go,sst_images/Left_Arrow.bmp,1,0.05,1.295,2,0,0.6360755360074108,2.295,,010,sst_trial_order_3A.csv,R
go,sst_images/Right_Arrow.bmp,2,0.05,0.792,,0,[],1.792,,010,sst_trial_order_3A.csv,R
stop,sst_images/Right_Arrow.bmp,none,0.1,0.738,,1,[],1.738,,010,sst_trial_order_3A.csv,R
go,sst_images/Right_Arrow.bmp,2,0.1,0.75,,0,[],1.75,,010,sst_trial_order_3A.csv,R
go,sst_images/Left_Arrow.bmp,1,0.1,0.869,2,0,0.5267645590065513,1.869,,010,sst_trial_order_3A.csv,R
go,sst_images/Left_Arrow.bmp,1,0.1,0.732,2,0,0.3095816020068014,1.732,,010,sst_trial_order_3A.csv,R
stop,sst_images/Left_Arrow.bmp,none,0.05,0.721,2,0,0.3346480460022576,1.7863519539977426,,010,sst_trial_order_3A.csv,R
go,sst_images/Right_Arrow.bmp,2,0.05,0.769,,0,[],1.7690000000000001,,010,sst_trial_order_3A.csv,R
go,sst_images/Left_Arrow.bmp,1,0.05,0.708,2,0,0.6440277229994535,1.708,,010,sst_trial_order_3A.csv,R
go,sst_images/Right_Arrow.bmp,2,0.05,0.838,,0,[],1.838,,010,sst_trial_order_3A.csv,R
go,sst_images/Right_Arrow.bmp,2,0.05,0.712,,0,[],1.712,,010,sst_trial_order_3A.csv,R
go,sst_images/Left_Arrow.bmp,1,0.05,0.707,2,0,0.5934722730016802,1.7069999999999999,,010,sst_trial_order_3A.csv,R
stop,sst_images/Left_Arrow.bmp,none,0.1,0.711,,1,[],1.7109999999999999,,010,sst_trial_order_3A.csv,R
go,sst_images/Right_Arrow.bmp,2,0.1,0.725,,0,[],1.725,,010,sst_trial_order_3A.csv,R
go,sst_images/Left_Arrow.bmp,1,0.1,0.771,2,0,0.3761129469930893,1.771,,010,sst_trial_order_3A.csv,R
go,sst_images/Left_Arrow.bmp,1,0.1,0.83,2,0,0.4915579929947853,1.83,,010,sst_trial_order_3A.csv,R
go,sst_images/Left_Arrow.bmp,1,0.1,0.797,,0,[],1.7970000000000002,,010,sst_trial_order_3A.csv,R
go,sst_images/Right_Arrow.bmp,2,0.1,0.832,,0,[],1.8319999999999999,,010,sst_trial_order_3A.csv,R
