TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,run,trial_order
4,0,[],,028,1,5
1,0,[],,028,1,5
4,0,[],,028,1,5
2,1,0.2515767319709994,,028,1,5
3,1,0.25574059499194846,,028,1,5
2,1,0.22167009598342702,,028,1,5
3,1,0.2709114349563606,,028,1,5
4,1,0.2315625449991785,,028,1,5
1,1,0.21909288299502805,,028,1,5
5,1,0.2683574270340614,,028,1,5
4,0,[],,028,1,5
2,1,0.27494373300578445,,028,1,5
1,1,0.2501811819965951,,028,1,5
3,0,[],,028,1,5
4,1,0.23707865399774164,,028,1,5
3,0,[],,028,1,5
5,1,0.23645830899477005,,028,1,5
3,1,0.22830121195875108,,028,1,5
4,1,0.23354700003983453,,028,1,5
1,0,[],,028,1,5
4,0,[],,028,1,5
1,1,0.2307292819605209,,028,1,5
1,1,0.21139206195948645,,028,1,5
3,0,[],,028,1,5
2,0,[],,028,1,5
5,1,0.2104491440113634,,028,1,5
2,0,[],,028,1,5
5,0,[],,028,1,5
3,0,[],,028,1,5
4,0,[],,028,1,5
3,0,[],,028,1,5
1,1,0.21522251202259213,,028,1,5
3,0,[],,028,1,5
3,1,0.21293521398911253,,028,1,5
2,0,[],,028,1,5
4,1,0.24377786100376397,,028,1,5
2,0,[],,028,1,5
1,1,0.2718871369725093,,028,1,5
5,1,0.29028139397269115,,028,1,5
2,1,0.2680556069826707,,028,1,5
5,1,0.28059017698979005,,028,1,5
2,1,0.26124779699603096,,028,1,5
2,0,[],,028,1,5
5,1,0.26503722701454535,,028,1,5
5,1,0.26045956794405356,,028,1,5
1,1,0.24766571895452216,,028,1,5
4,0,[],,028,1,5
5,0,[],,028,1,5
1,1,0.22386704199016094,,028,1,5
5,0,[],,028,1,5
