trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation
go,sst_images/Left_Arrow.bmp,,1,1295,
go,sst_images/Right_Arrow.bmp,,2,792,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,738,
go,sst_images/Right_Arrow.bmp,,2,750,
go,sst_images/Left_Arrow.bmp,,1,869,
go,sst_images/Left_Arrow.bmp,,1,732,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,721,
go,sst_images/Right_Arrow.bmp,,2,769,
go,sst_images/Left_Arrow.bmp,,1,708,
go,sst_images/Right_Arrow.bmp,,2,838,
go,sst_images/Right_Arrow.bmp,,2,712,
go,sst_images/Left_Arrow.bmp,,1,707,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,711,
go,sst_images/Right_Arrow.bmp,,2,725,
go,sst_images/Left_Arrow.bmp,,1,771,
go,sst_images/Left_Arrow.bmp,,1,830,
go,sst_images/Left_Arrow.bmp,,1,797,
go,sst_images/Right_Arrow.bmp,,2,832,
go,sst_images/Left_Arrow.bmp,,1,762,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,717,
go,sst_images/Left_Arrow.bmp,,1,728,
go,sst_images/Right_Arrow.bmp,,2,803,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,781,
go,sst_images/Left_Arrow.bmp,,1,961,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,772,
go,sst_images/Right_Arrow.bmp,,2,959,
go,sst_images/Left_Arrow.bmp,,1,1111,
go,sst_images/Right_Arrow.bmp,,2,718,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,750,
go,sst_images/Right_Arrow.bmp,,2,768,
go,sst_images/Left_Arrow.bmp,,1,1426,
go,sst_images/Right_Arrow.bmp,,2,1700,
go,sst_images/Right_Arrow.bmp,,2,965,
go,sst_images/Left_Arrow.bmp,,1,704,
go,sst_images/Right_Arrow.bmp,,2,887,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,704,
go,sst_images/Left_Arrow.bmp,,1,1431,
go,sst_images/Left_Arrow.bmp,,1,746,
go,sst_images/Right_Arrow.bmp,,2,709,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,894,
go,sst_images/Right_Arrow.bmp,,2,750,
go,sst_images/Left_Arrow.bmp,,1,1139,
go,sst_images/Left_Arrow.bmp,,1,711,
go,sst_images/Right_Arrow.bmp,,2,738,
go,sst_images/Left_Arrow.bmp,,1,706,
go,sst_images/Left_Arrow.bmp,,1,1016,
go,sst_images/Right_Arrow.bmp,,2,1071,
go,sst_images/Right_Arrow.bmp,,2,913,
go,sst_images/Right_Arrow.bmp,,2,941,
go,sst_images/Left_Arrow.bmp,,1,1253,
go,sst_images/Left_Arrow.bmp,,1,1230,
go,sst_images/Left_Arrow.bmp,,1,870,
go,sst_images/Right_Arrow.bmp,,2,881,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,954,
go,sst_images/Right_Arrow.bmp,,2,784,
go,sst_images/Left_Arrow.bmp,,1,1789,
go,sst_images/Left_Arrow.bmp,,1,919,
go,sst_images/Left_Arrow.bmp,,1,1155,
go,sst_images/Right_Arrow.bmp,,2,716,
go,sst_images/Left_Arrow.bmp,,1,791,
go,sst_images/Left_Arrow.bmp,,1,786,
go,sst_images/Right_Arrow.bmp,,2,987,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1076,
go,sst_images/Right_Arrow.bmp,,2,957,
go,sst_images/Left_Arrow.bmp,,1,1855,
go,sst_images/Right_Arrow.bmp,,2,825,
go,sst_images/Left_Arrow.bmp,,1,979,
go,sst_images/Right_Arrow.bmp,,2,985,
go,sst_images/Right_Arrow.bmp,,2,1699,
go,sst_images/Left_Arrow.bmp,,1,894,
go,sst_images/Right_Arrow.bmp,,2,730,
go,sst_images/Left_Arrow.bmp,,1,798,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,790,
go,sst_images/Right_Arrow.bmp,,2,795,
go,sst_images/Left_Arrow.bmp,,1,778,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,833,
go,sst_images/Right_Arrow.bmp,,2,984,
go,sst_images/Right_Arrow.bmp,,2,1092,
go,sst_images/Left_Arrow.bmp,,1,750,
go,sst_images/Left_Arrow.bmp,,1,894,
go,sst_images/Right_Arrow.bmp,,2,724,
go,sst_images/Right_Arrow.bmp,,2,788,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,857,
go,sst_images/Right_Arrow.bmp,,2,909,
go,sst_images/Left_Arrow.bmp,,1,1176,
go,sst_images/Left_Arrow.bmp,,1,811,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1155,
go,sst_images/Right_Arrow.bmp,,2,717,
go,sst_images/Left_Arrow.bmp,,1,1064,
go,sst_images/Right_Arrow.bmp,,2,954,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,946,
go,sst_images/Left_Arrow.bmp,,1,1146,
go,sst_images/Right_Arrow.bmp,,2,843,
go,sst_images/Left_Arrow.bmp,,1,1717,
go,sst_images/Left_Arrow.bmp,,1,745,
go,sst_images/Left_Arrow.bmp,,1,1658,
go,sst_images/Right_Arrow.bmp,,2,704,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,881,
go,sst_images/Left_Arrow.bmp,,1,848,
go,sst_images/Right_Arrow.bmp,,2,730,
go,sst_images/Right_Arrow.bmp,,2,1039,
go,sst_images/Left_Arrow.bmp,,1,1855,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,772,
go,sst_images/Right_Arrow.bmp,,2,1076,
go,sst_images/Right_Arrow.bmp,,2,857,
go,sst_images/Left_Arrow.bmp,,1,815,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1053,
go,sst_images/Left_Arrow.bmp,,1,778,
go,sst_images/Right_Arrow.bmp,,2,1337,
go,sst_images/Right_Arrow.bmp,,2,758,
