trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation
go,sst_images/Left_Arrow.bmp,,1,924,
go,sst_images/Right_Arrow.bmp,,2,771,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,954,
go,sst_images/Right_Arrow.bmp,,2,902,
go,sst_images/Left_Arrow.bmp,,1,711,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,718,
go,sst_images/Left_Arrow.bmp,,1,875,
go,sst_images/Right_Arrow.bmp,,2,798,
go,sst_images/Left_Arrow.bmp,,1,794,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,704,
go,sst_images/Right_Arrow.bmp,,2,731,
go,sst_images/Right_Arrow.bmp,,2,715,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,879,
go,sst_images/Left_Arrow.bmp,,1,1153,
go,sst_images/Right_Arrow.bmp,,2,1426,
go,sst_images/Left_Arrow.bmp,,1,776,
go,sst_images/Left_Arrow.bmp,,1,757,
go,sst_images/Left_Arrow.bmp,,1,735,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,855,
go,sst_images/Right_Arrow.bmp,,2,787,
go,sst_images/Left_Arrow.bmp,,1,886,
go,sst_images/Left_Arrow.bmp,,1,872,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,843,
go,sst_images/Right_Arrow.bmp,,2,717,
go,sst_images/Left_Arrow.bmp,,1,800,
go,sst_images/Right_Arrow.bmp,,2,836,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1015,
go,sst_images/Left_Arrow.bmp,,1,718,
go,sst_images/Right_Arrow.bmp,,2,807,
go,sst_images/Right_Arrow.bmp,,2,757,
go,sst_images/Left_Arrow.bmp,,1,974,
go,sst_images/Right_Arrow.bmp,,2,1107,
go,sst_images/Right_Arrow.bmp,,2,777,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,723,
go,sst_images/Left_Arrow.bmp,,1,963,
go,sst_images/Right_Arrow.bmp,,2,1186,
go,sst_images/Left_Arrow.bmp,,1,793,
go,sst_images/Left_Arrow.bmp,,1,1207,
go,sst_images/Right_Arrow.bmp,,2,800,
go,sst_images/Right_Arrow.bmp,,2,1156,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1032,
go,sst_images/Left_Arrow.bmp,,1,1088,
go,sst_images/Left_Arrow.bmp,,1,922,
go,sst_images/Right_Arrow.bmp,,2,733,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,717,
go,sst_images/Left_Arrow.bmp,,1,870,
go,sst_images/Left_Arrow.bmp,,1,765,
go,sst_images/Right_Arrow.bmp,,2,861,
go,sst_images/Right_Arrow.bmp,,2,772,
go,sst_images/Right_Arrow.bmp,,2,937,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1296,
go,sst_images/Left_Arrow.bmp,,1,757,
go,sst_images/Left_Arrow.bmp,,1,751,
go,sst_images/Left_Arrow.bmp,,1,900,
go,sst_images/Right_Arrow.bmp,,2,815,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,865,
go,sst_images/Right_Arrow.bmp,,2,701,
go,sst_images/Left_Arrow.bmp,,1,963,
go,sst_images/Left_Arrow.bmp,,1,757,
go,sst_images/Left_Arrow.bmp,,1,799,
go,sst_images/Right_Arrow.bmp,,2,862,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1102,
go,sst_images/Left_Arrow.bmp,,1,704,
go,sst_images/Left_Arrow.bmp,,1,928,
go,sst_images/Right_Arrow.bmp,,2,1164,
go,sst_images/Right_Arrow.bmp,,2,746,
go,sst_images/Left_Arrow.bmp,,1,1003,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,918,
go,sst_images/Right_Arrow.bmp,,2,1036,
go,sst_images/Left_Arrow.bmp,,1,1122,
go,sst_images/Right_Arrow.bmp,,2,1296,
go,sst_images/Right_Arrow.bmp,,2,1072,
go,sst_images/Left_Arrow.bmp,,1,844,
go,sst_images/Right_Arrow.bmp,,2,935,
go,sst_images/Left_Arrow.bmp,,1,1079,
go,sst_images/Right_Arrow.bmp,,2,1187,
go,sst_images/Left_Arrow.bmp,,1,1200,
go,sst_images/Right_Arrow.bmp,,2,746,
go,sst_images/Right_Arrow.bmp,,2,892,
go,sst_images/Left_Arrow.bmp,,1,858,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,895,
go,sst_images/Left_Arrow.bmp,,1,740,
go,sst_images/Right_Arrow.bmp,,2,935,
go,sst_images/Right_Arrow.bmp,,2,1335,
go,sst_images/Right_Arrow.bmp,,2,919,
go,sst_images/Left_Arrow.bmp,,1,800,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,734,
go,sst_images/Left_Arrow.bmp,,1,714,
go,sst_images/Right_Arrow.bmp,,2,977,
go,sst_images/Left_Arrow.bmp,,1,753,
go,sst_images/Right_Arrow.bmp,,2,964,
go,sst_images/Left_Arrow.bmp,,1,1308,
go,sst_images/Right_Arrow.bmp,,2,812,
go,sst_images/Left_Arrow.bmp,,1,731,
go,sst_images/Left_Arrow.bmp,,1,740,
go,sst_images/Left_Arrow.bmp,,1,979,
go,sst_images/Right_Arrow.bmp,,2,916,
go,sst_images/Left_Arrow.bmp,,1,1015,
go,sst_images/Right_Arrow.bmp,,2,855,
