trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation
go,sst_images/Left_Arrow.bmp,,1,1044,
go,sst_images/Right_Arrow.bmp,,2,1179,
go,sst_images/Right_Arrow.bmp,,2,710,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1194,
go,sst_images/Left_Arrow.bmp,,1,1418,
go,sst_images/Left_Arrow.bmp,,1,757,
go,sst_images/Right_Arrow.bmp,,2,735,
go,sst_images/Left_Arrow.bmp,,1,874,
go,sst_images/Right_Arrow.bmp,,2,821,
go,sst_images/Right_Arrow.bmp,,2,722,
go,sst_images/Left_Arrow.bmp,,1,940,
go,sst_images/Right_Arrow.bmp,,2,885,
go,sst_images/Left_Arrow.bmp,,1,755,
go,sst_images/Left_Arrow.bmp,,1,903,
go,sst_images/Left_Arrow.bmp,,1,844,
go,sst_images/Right_Arrow.bmp,,2,1135,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,795,
go,sst_images/Left_Arrow.bmp,,1,1016,
go,sst_images/Left_Arrow.bmp,,1,721,
go,sst_images/Right_Arrow.bmp,,2,835,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,706,
go,sst_images/Left_Arrow.bmp,,1,877,
go,sst_images/Right_Arrow.bmp,,2,755,
go,sst_images/Left_Arrow.bmp,,1,706,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,711,
go,sst_images/Right_Arrow.bmp,,2,826,
go,sst_images/Right_Arrow.bmp,,2,897,
go,sst_images/Left_Arrow.bmp,,1,826,
go,sst_images/Right_Arrow.bmp,,2,1271,
go,sst_images/Right_Arrow.bmp,,2,809,
go,sst_images/Left_Arrow.bmp,,1,759,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,754,
go,sst_images/Right_Arrow.bmp,,2,753,
go,sst_images/Left_Arrow.bmp,,1,797,
go,sst_images/Left_Arrow.bmp,,1,703,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,815,
go,sst_images/Right_Arrow.bmp,,2,888,
go,sst_images/Right_Arrow.bmp,,2,871,
go,sst_images/Left_Arrow.bmp,,1,765,
go,sst_images/Left_Arrow.bmp,,1,1192,
go,sst_images/Right_Arrow.bmp,,2,987,
go,sst_images/Left_Arrow.bmp,,1,1024,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,828,
go,sst_images/Left_Arrow.bmp,,1,1469,
go,sst_images/Right_Arrow.bmp,,2,991,
go,sst_images/Right_Arrow.bmp,,2,885,
go,sst_images/Right_Arrow.bmp,,2,1179,
go,sst_images/Left_Arrow.bmp,,1,791,
go,sst_images/Left_Arrow.bmp,,1,761,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,769,
go,sst_images/Left_Arrow.bmp,,1,1144,
go,sst_images/Right_Arrow.bmp,,2,723,
go,sst_images/Right_Arrow.bmp,,2,1001,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1174,
go,sst_images/Left_Arrow.bmp,,1,818,
go,sst_images/Left_Arrow.bmp,,1,1073,
go,sst_images/Left_Arrow.bmp,,1,828,
go,sst_images/Right_Arrow.bmp,,2,815,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,747,
go,sst_images/Left_Arrow.bmp,,1,838,
