trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation
go,sst_images/Left_Arrow.bmp,,1,797,
go,sst_images/Right_Arrow.bmp,,2,1239,
go,sst_images/Right_Arrow.bmp,,2,824,
go,sst_images/Left_Arrow.bmp,,1,929,
go,sst_images/Left_Arrow.bmp,,1,701,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,768,
go,sst_images/Right_Arrow.bmp,,2,884,
go,sst_images/Left_Arrow.bmp,,1,723,
go,sst_images/Right_Arrow.bmp,,2,872,
go,sst_images/Right_Arrow.bmp,,2,804,
go,sst_images/Left_Arrow.bmp,,1,729,
go,sst_images/Right_Arrow.bmp,,2,758,
go,sst_images/Left_Arrow.bmp,,1,721,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,823,
go,sst_images/Left_Arrow.bmp,,1,847,
go,sst_images/Left_Arrow.bmp,,1,725,
go,sst_images/Right_Arrow.bmp,,2,865,
go,sst_images/Left_Arrow.bmp,,1,712,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,761,
go,sst_images/Left_Arrow.bmp,,1,838,
go,sst_images/Right_Arrow.bmp,,2,859,
go,sst_images/Left_Arrow.bmp,,1,754,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1182,
go,sst_images/Right_Arrow.bmp,,2,1008,
go,sst_images/Left_Arrow.bmp,,1,948,
go,sst_images/Right_Arrow.bmp,,2,819,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,829,
go,sst_images/Right_Arrow.bmp,,2,913,
go,sst_images/Left_Arrow.bmp,,1,803,
go,sst_images/Right_Arrow.bmp,,2,706,
go,sst_images/Right_Arrow.bmp,,2,788,
go,sst_images/Left_Arrow.bmp,,1,865,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,917,
go,sst_images/Right_Arrow.bmp,,2,1149,
go,sst_images/Left_Arrow.bmp,,1,829,
go,sst_images/Left_Arrow.bmp,,1,754,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,749,
go,sst_images/Right_Arrow.bmp,,2,789,
go,sst_images/Right_Arrow.bmp,,2,1541,
go,sst_images/Left_Arrow.bmp,,1,814,
go,sst_images/Left_Arrow.bmp,,1,739,
go,sst_images/Right_Arrow.bmp,,2,704,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,721,
go,sst_images/Left_Arrow.bmp,,1,1069,
go,sst_images/Left_Arrow.bmp,,1,829,
go,sst_images/Right_Arrow.bmp,,2,2000,
go,sst_images/Right_Arrow.bmp,,2,791,
go,sst_images/Right_Arrow.bmp,,2,757,
go,sst_images/Left_Arrow.bmp,,1,880,
go,sst_images/Left_Arrow.bmp,,1,755,
go,sst_images/Left_Arrow.bmp,,1,781,
go,sst_images/Right_Arrow.bmp,,2,792,
go,sst_images/Right_Arrow.bmp,,2,780,
go,sst_images/Left_Arrow.bmp,,1,959,
go,sst_images/Left_Arrow.bmp,,1,701,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,734,
go,sst_images/Left_Arrow.bmp,,1,821,
go,sst_images/Right_Arrow.bmp,,2,760,
go,sst_images/Left_Arrow.bmp,,1,934,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,2000,
go,sst_images/Left_Arrow.bmp,,1,730,
go,sst_images/Right_Arrow.bmp,,2,891,
go,sst_images/Right_Arrow.bmp,,2,711,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,755,
go,sst_images/Left_Arrow.bmp,,1,777,
go,sst_images/Right_Arrow.bmp,,2,743,
go,sst_images/Left_Arrow.bmp,,1,1005,
go,sst_images/Right_Arrow.bmp,,2,770,
go,sst_images/Right_Arrow.bmp,,2,782,
go,sst_images/Left_Arrow.bmp,,1,714,
go,sst_images/Right_Arrow.bmp,,2,773,
go,sst_images/Left_Arrow.bmp,,1,726,
go,sst_images/Right_Arrow.bmp,,2,1190,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1726,
go,sst_images/Left_Arrow.bmp,,1,757,
go,sst_images/Right_Arrow.bmp,,2,1059,
go,sst_images/Right_Arrow.bmp,,2,831,
go,sst_images/Left_Arrow.bmp,,1,829,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1045,
go,sst_images/Left_Arrow.bmp,,1,1171,
go,sst_images/Right_Arrow.bmp,,2,733,
go,sst_images/Right_Arrow.bmp,,2,726,
go,sst_images/Right_Arrow.bmp,,2,892,
go,sst_images/Left_Arrow.bmp,,1,751,
go,sst_images/Left_Arrow.bmp,,1,802,
go,sst_images/Right_Arrow.bmp,,2,847,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1155,
go,sst_images/Left_Arrow.bmp,,1,923,
go,sst_images/Right_Arrow.bmp,,2,911,
go,sst_images/Left_Arrow.bmp,,1,1271,
go,sst_images/Right_Arrow.bmp,,2,1030,
go,sst_images/Left_Arrow.bmp,,1,893,
go,sst_images/Left_Arrow.bmp,,1,701,
go,sst_images/Left_Arrow.bmp,,1,750,
go,sst_images/Right_Arrow.bmp,,2,823,
go,sst_images/Left_Arrow.bmp,,1,778,
go,sst_images/Right_Arrow.bmp,,2,1182,
go,sst_images/Right_Arrow.bmp,,2,813,
go,sst_images/Left_Arrow.bmp,,1,799,
go,sst_images/Right_Arrow.bmp,,2,765,
go,sst_images/Right_Arrow.bmp,,2,755,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,792,
go,sst_images/Left_Arrow.bmp,,1,1155,
go,sst_images/Left_Arrow.bmp,,1,807,
go,sst_images/Right_Arrow.bmp,,2,860,
go,sst_images/Right_Arrow.bmp,,2,1159,
go,sst_images/Left_Arrow.bmp,,1,824,
go,sst_images/Right_Arrow.bmp,,2,984,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,751,
go,sst_images/Left_Arrow.bmp,,1,756,
go,sst_images/Right_Arrow.bmp,,2,779,
go,sst_images/Left_Arrow.bmp,,1,707,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1248,
go,sst_images/Right_Arrow.bmp,,2,1173,
go,sst_images/Left_Arrow.bmp,,1,870,
go,sst_images/Right_Arrow.bmp,,2,1627,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,765,
go,sst_images/Left_Arrow.bmp,,1,813,
go,sst_images/Right_Arrow.bmp,,2,788,
go,sst_images/Left_Arrow.bmp,,1,981,
go,sst_images/Right_Arrow.bmp,,2,1274,
go,sst_images/Right_Arrow.bmp,,2,836,
go,sst_images/Left_Arrow.bmp,,1,1024,
go,sst_images/Left_Arrow.bmp,,1,859,
go,sst_images/Left_Arrow.bmp,,1,755,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,829,
go,sst_images/Right_Arrow.bmp,,2,701,
go,sst_images/Left_Arrow.bmp,,1,772,
go,sst_images/Left_Arrow.bmp,,1,724,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,953,
go,sst_images/Left_Arrow.bmp,,1,805,
go,sst_images/Right_Arrow.bmp,,2,745,
go,sst_images/Left_Arrow.bmp,,1,712,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,726,
go,sst_images/Left_Arrow.bmp,,1,707,
go,sst_images/Right_Arrow.bmp,,2,739,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1285,
go,sst_images/Right_Arrow.bmp,,2,1046,
go,sst_images/Left_Arrow.bmp,,1,797,
go,sst_images/Right_Arrow.bmp,,2,1541,
go,sst_images/Left_Arrow.bmp,,1,749,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1260,
go,sst_images/Left_Arrow.bmp,,1,864,
go,sst_images/Right_Arrow.bmp,,2,758,
go,sst_images/Left_Arrow.bmp,,1,764,
go,sst_images/Right_Arrow.bmp,,2,769,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,892,
go,sst_images/Left_Arrow.bmp,,1,1248,
go,sst_images/Right_Arrow.bmp,,2,771,
go,sst_images/Right_Arrow.bmp,,2,806,
go,sst_images/Left_Arrow.bmp,,1,1619,
go,sst_images/Right_Arrow.bmp,,2,801,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,758,
go,sst_images/Left_Arrow.bmp,,1,890,
go,sst_images/Right_Arrow.bmp,,2,701,
