TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,trial_order
4,0,[],,0006,5
1,0,[],,0006,5
4,0,[],,0006,5
2,0,[],,0006,5
3,0,[],,0006,5
2,0,[],,0006,5
3,0,[],,0006,5
4,0,[],,0006,5
1,1,0.2984565310034668,,0006,5
5,1,0.33806888200342655,,0006,5
4,0,[],,0006,5
2,1,0.36150622500281315,,0006,5
1,1,0.34018089099845383,,0006,5
3,0,[],,0006,5
4,1,0.31011464900075225,,0006,5
3,0,[],,0006,5
5,0,[],,0006,5
3,1,0.3085473510000156,,0006,5
4,1,0.29084915300336434,,0006,5
1,0,[],,0006,5
4,0,[],,0006,5
1,0,[],,0006,5
1,0,[],,0006,5
3,1,0.3621542179971584,,0006,5
2,1,0.3075071869970998,,0006,5
5,0,[],,0006,5
2,1,0.31869953999557765,,0006,5
5,1,0.38322759599395795,,0006,5
3,1,0.3488840810023248,,0006,5
4,1,0.33767071300098905,,0006,5
3,1,0.3900571749982191,,0006,5
1,1,0.3608518399996683,,0006,5
3,0,[],,0006,5
3,0,[],,0006,5
2,0,[],,0006,5
4,1,0.347096245001012,,0006,5
2,1,0.33495696500176564,,0006,5
1,0,[],,0006,5
5,0,[],,0006,5
2,0,[],,0006,5
5,0,[],,0006,5
2,0,[],,0006,5
2,1,0.33355943499918794,,0006,5
5,1,0.3776165180024691,,0006,5
5,1,0.36581749800097896,,0006,5
1,1,0.3374457909958437,,0006,5
4,0,[],,0006,5
5,1,0.3450347050020355,,0006,5
1,0,[],,0006,5
5,1,0.3507086809986504,,0006,5
