TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,trial_order
4,0,[],,0001,5
1,0,[],,0001,5
4,0,[],,0001,5
2,0,[],,0001,5
3,0,[],,0001,5
2,0,[],,0001,5
3,1,0.2672770990002391,,0001,5
4,1,0.1001334010006758,,0001,5
1,0,[],,0001,5
5,1,0.30220959999951447,,0001,5
4,0,[],,0001,5
2,0,[],,0001,5
1,1,0.3476288520005255,,0001,5
3,0,[],,0001,5
4,0,[],,0001,5
3,0,[],,0001,5
5,1,0.38886918400021386,,0001,5
3,0,[],,0001,5
4,0,[],,0001,5
1,1,0.339089108000735,,0001,5
4,1,0.38360768599977746,,0001,5
1,1,0.34629565500017634,,0001,5
1,1,0.33708518000003096,,0001,5
3,0,[],,0001,5
2,0,[],,0001,5
5,0,[],,0001,5
2,1,0.3304176820001885,,0001,5
5,1,0.3480253249999805,,0001,5
3,0,[],,0001,5
4,0,[],,0001,5
3,0,[],,0001,5
1,0,[],,0001,5
3,0,[],,0001,5
3,0,[],,0001,5
2,1,0.3458193369997389,,0001,5
4,1,0.39781014600066555,,0001,5
2,1,0.31496547700044175,,0001,5
1,0,[],,0001,5
5,0,[],,0001,5
2,0,[],,0001,5
5,0,[],,0001,5
2,1,0.3662859140004002,,0001,5
2,0,[],,0001,5
5,1,0.3728807429997687,,0001,5
5,0,[],,0001,5
1,1,0.3450043029997687,,0001,5
4,0,[],,0001,5
5,0,[],,0001,5
1,1,0.35807970900077635,,0001,5
5,0,[],,0001,5
1,1,0.3816881689999718,,0001,2
3,0,[],,0001,2
4,0,[],,0001,2
2,0,[],,0001,2
1,0,[],,0001,2
4,0,[],,0001,2
1,0,[],,0001,2
4,0,[],,0001,2
3,0,[],,0001,2
5,0,[],,0001,2
